"Bagalkote, Karnataka","Friday, 2:00 pm",29,°C,Cloudy
"Bengaluru, Karnataka","Friday, 2:00 pm",27,°C,Partly cloudy
"Bagalur, Karnataka","Friday, 2:00 pm",28,°C,Partly cloudy
"Belagavi, Karnataka","Friday, 2:00 pm",24,°C,Cloudy
"Ballari, Karnataka","Friday, 2:00 pm",31,°C,Mostly cloudy
"Bidar, Karnataka","Friday, 2:00 pm",29,°C,Cloudy
"Vijayapura, Karnataka","Friday, 2:00 pm",29,°C,Cloudy
"Chamarajanagar, Karnataka","Friday, 2:00 pm",28,°C,Mostly cloudy
"Chikkaballapur, Karnataka","Friday, 2:00 pm",27,°C,Cloudy
"Chikkamagaluru, Karnataka","Friday, 2:00 pm",23,°C,Cloudy
"Chitradurga, Karnataka","Friday, 2:00 pm",28,°C,Cloudy
"Dakshina Kannada, Karnataka","Friday, 2:00 pm",26,°C,Rain
"Davanagere, Karnataka","Friday, 2:00 pm",28,°C,Cloudy
"Dharwad, Karnataka","Friday, 2:00 pm",26,°C,Cloudy
"Gadag-Betageri, Karnataka","Friday, 2:00 pm",28,°C,Cloudy
"Kalaburagi, Karnataka","Friday, 2:00 pm",31,°C,Cloudy
"Hassan, Karnataka","Friday, 2:00 pm",24,°C,Cloudy
"Haveri, Karnataka","Friday, 2:00 pm",27,°C,Cloudy
"Kodagu, Karnataka","Friday, 2:00 pm",21,°C,Light rain showers
"Kolar, Karnataka","Friday, 2:00 pm",29,°C,Cloudy
"Koppal, Karnataka","Friday, 2:00 pm",29,°C,Cloudy
"Mandya, Karnataka","Friday, 2:00 pm",28,°C,Mostly cloudy
"Mysuru, Karnataka","Friday, 2:00 pm",27,°C,Partly cloudy
"Raichur, Karnataka","Friday, 2:00 pm",32,°C,Cloudy
"Ramanagara, Karnataka","Friday, 2:00 pm",28,°C,Mostly cloudy
"Shivamogga, Karnataka","Friday, 2:00 pm",27,°C,Cloudy
"Tumakuru, Karnataka","Friday, 2:00 pm",28,°C,Mostly cloudy
"Udupi, Karnataka","Friday, 2:00 pm",28,°C,Cloudy
"Uttara Kannada, Karnataka","Friday, 2:00 pm",25,°C,Rain
"Yadgir, Karnataka","Friday, 2:00 pm",30,°C,Cloudy
